company,rep_topic,rep_prob,T10_팀바팀부서편차,T11_보상연봉,T1_워라밸복지,T2_계약직전환,T3_업무강도편차,T4_열악한근무환경,T5_군대식조직문화,T6_비효율문서작업,T7_성장성부족,T8_사내정치불공정,T9_경영진문제,company_clean,company_info,산업,기업형태,사원수,설립일,company_norm,별점
한국정보통신(주),T10_팀바팀부서편차,0.18,0.18,0.153333333,0.106666667,0,0.113333333,0.06,0.106666667,0.02,0.126666667,0.08,0.0533333333,한국정보통신,한국정보통신(주),네트워크/통신/모바일,대기업,201명,1986.05.09,한국정보통신,3.38
한국축산데이터(주),T7_성장성부족,0.223880597,0.134328358,0.0895522388,0.0597014925,0.0298507463,0.0447761194,0.0447761194,0.0298507463,0.0597014925,0.223880597,0.104477612,0.179104478,한국축산데이터,한국축산데이터(주),기타 IT/웹/통신,중소기업,100명,2017.11.20,한국축산데이터,2.850746269
한국태양유전(주),T1_워라밸복지,0.242424242,0.212121212,0.0606060606,0.242424242,0,0.106060606,0.0909090909,0.0303030303,0.0909090909,0.0909090909,0.0757575758,0,한국태양유전,한국태양유전(주),전기/전자/제어,대기업,290명,1973.07.01,한국태양유전,2.272727273
한국투자공사,T10_팀바팀부서편차,0.222222222,0.222222222,0.166666667,0.0777777778,0,0.0555555556,0.0555555556,0.0333333333,0.0888888889,0.166666667,0.0555555556,0.0777777778,한국투자공사,한국투자공사,증권/보험/카드,국내 공공기관/공기업,30명,2006.01.01,한국투자공사,3.644444444
한국투자신탁운용(주),T8_사내정치불공정,0.213333333,0.173333333,0.106666667,0.106666667,0,0.08,0.08,0.0933333333,0.0533333333,0.0266666667,0.213333333,0.0666666667,한국투자신탁운용,한국투자신탁운용(주),증권/보험/카드,대기업,212명,2000.06.26,한국투자신탁운용,3.466666667
한국투자증권(주),T10_팀바팀부서편차,0.173333333,0.173333333,0.106666667,0.126666667,0.0133333333,0.14,0.0666666667,0.16,0.0466666667,0.0466666667,0.1,0.02,한국투자증권,한국투자증권(주),증권/보험/카드,대기업,"2,286명",1974.09.16,한국투자증권,3.08
한국평가데이터(주),T1_워라밸복지,0.22,0.146666667,0.0266666667,0.22,0.18,0.0866666667,0.02,0.06,0.06,0.04,0.146666667,0.0133333333,한국평가데이터,한국평가데이터(주),포털/인터넷/콘텐츠,중견기업,366명,2005.03.10,한국평가데이터,3.493333333
한국필립모리스(주),T2_계약직전환,0.333333333,0.133333333,0.02,0.146666667,0.333333333,0.0533333333,0.1,0,0.02,0.08,0.0733333333,0.04,한국필립모리스,한국필립모리스(주),판매유통,대기업,980명,1989.04.01,한국필립모리스,3.8
한국후지제록스정보시스템(주),T8_사내정치불공정,0.225806452,0.193548387,0.161290323,0.129032258,0.0322580645,0.0322580645,0,0,0.064516129,0.0967741935,0.225806452,0.064516129,한국후지제록스정보시스템,한국후지제록스정보시스템(주),솔루션/SI/ERP/CRM,중소기업,40명,1992.02.01,한국후지제록스정보시스템,2.419354839
한라아이엠에스(주),T11_보상연봉,0.261682243,0.0934579439,0.261682243,0.23364486,0,0.0280373832,0.112149533,0.0373831776,0.00934579439,0.0841121495,0.0560747664,0.0841121495,한라아이엠에스,한라아이엠에스(주),조선/항공/우주,중소기업,155명,1989.01.04,한라아이엠에스,2.878504673
한미테크윈(주),T1_워라밸복지,0.2,0.133333333,0.0333333333,0.2,0,0.166666667,0.0666666667,0.0333333333,0.0666666667,0.0333333333,0.133333333,0.133333333,한미테크윈,한미테크윈(주),전기/전자/제어,-,114명,1978.01.04,한미테크윈,2.066666667
한아아이앤티(주),T9_경영진문제,0.176470588,0.0882352941,0.0588235294,0.176470588,0,0.147058823,0.147058823,0.0294117647,0,0.0294117647,0.147058823,0.176470588,한아아이앤티,한아아이앤티(주),판매유통,-,23명,-,한아아이앤티,2.117647059
한화손해사정(주),T1_워라밸복지,0.34,0.0533333333,0.0866666667,0.34,0,0.213333333,0.0533333333,0.0466666667,0.0333333333,0.0466666667,0.106666667,0.02,한화손해사정,한화손해사정(주),증권/보험/카드,대기업,461명,2005.04.01,한화손해사정,2.54
한화투자증권(주),T11_보상연봉,0.313333333,0.16,0.313333333,0.06,0.02,0.04,0.04,0.0733333333,0.0533333333,0.08,0.133333333,0.0266666667,한화투자증권,한화투자증권(주),증권/보험/카드,대기업,"1,037명",1962.07.19,한화투자증권,2.813333333
해마로푸드서비스(주),T10_팀바팀부서편차,0.283333333,0.283333333,0.0166666667,0.0833333333,0.0333333333,0.116666667,0.0333333333,0,0.0166666667,0.2,0.133333333,0.0833333333,해마로푸드서비스,해마로푸드서비스(주),판매유통,중견기업,200명,2004.02.04,해마로푸드서비스,3.166666667
해양오릭스(주),T1_워라밸복지,0.6,0,0.25,0.6,0,0.05,0.05,0,0,0.05,0,0,해양오릭스,해양오릭스(주),전기/전자/제어,중소기업,30명,1973.01.09,해양오릭스,1.95
해태에이치티비(주),T4_열악한근무환경,0.184397163,0.0638297872,0.156028369,0.177304964,0.0496453901,0.163120567,0.184397163,0.0496453901,0.00709219858,0.0992907801,0.0496453901,0,해태에이치티비,해태에이치티비(주),식품가공/개발,-,799명,1999.11.23,해태에이치티비,3.191489362
해태제과식품(주),T11_보상연봉,0.38,0.04,0.38,0.153333333,0,0.113333333,0.0866666667,0.0266666667,0.00666666667,0.0866666667,0.06,0.0466666667,해태제과식품,해태제과식품(주),식품가공/개발,대기업,"2,295명",2001.07.11,해태제과식품,2.54
현대건설(주),T1_워라밸복지,0.2,0.1,0.08,0.2,0.0666666667,0.1,0.14,0.133333333,0,0.08,0.0533333333,0.0466666667,현대건설,현대건설(주),건설/건축/토목/시공,대기업,"5,368명",1950.01.10,현대건설,3.34
현대글로비스(주),T1_워라밸복지,0.166666667,0.133333333,0.08,0.166666667,0.02,0.113333333,0.0466666667,0.0733333333,0.0866666667,0.0933333333,0.106666667,0.08,현대글로비스,현대글로비스(주),운송/운수/물류,대기업,"1,119명",2001.02.22,현대글로비스,3.72
